City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Haines Junction,CA,2021-06-14 14:33:05,60.7522,-137.5108,49.95,76,75,1.14
141,Nikolskoye,RU,2021-06-14 14:33:05,59.7035,30.7861,68.79,43,100,6.55
142,Katsuura,JP,2021-06-14 14:33:06,35.1333,140.3,69.12,78,45,0.87
143,Yei,SS,2021-06-14 14:33:06,4.095,30.6779,76.62,68,100,4.92
144,Ponta Do Sol,PT,2021-06-14 14:33:07,32.6667,-17.1,76.12,71,72,4.94
145,Rurrenabaque,BO,2021-06-14 14:33:08,-14.4413,-67.5278,75.09,78,5,0.0
146,Evensk,RU,2021-06-14 14:33:09,61.95,159.2333,45.97,70,18,7.61
147,Upernavik,GL,2021-06-14 14:33:09,72.7868,-56.1549,34.48,84,100,6.51
148,Erenhot,CN,2021-06-14 14:33:10,43.6475,111.9767,71.6,43,21,9.24
149,Buena Vista,US,2021-06-14 14:28:57,43.4203,-83.8986,70.45,74,1,5.75
150,Joniskelis,LT,2021-06-14 14:33:11,56.0253,24.1689,70.75,58,17,4.43
151,Kahului,US,2021-06-14 14:28:14,20.8947,-156.47,73.42,85,90,16.11
152,Farso,DK,2021-06-14 14:33:12,56.7728,9.3393,60.73,91,100,15.46
153,Mumbwa,ZM,2021-06-14 14:33:13,-14.9783,27.0619,73.33,24,61,4.38
154,Turukhansk,RU,2021-06-14 14:33:13,65.8167,87.9833,60.75,66,59,9.62
155,Oranienburg,DE,2021-06-14 14:33:14,52.75,13.2333,84.18,40,15,6.26
156,Vestmannaeyjar,IS,2021-06-14 14:33:14,63.4427,-20.2734,43.79,87,75,5.75
157,Esperance,AU,2021-06-14 14:33:15,-33.8667,121.9,46.24,70,96,24.94
158,Hamilton,US,2021-06-14 14:28:35,39.1834,-84.5333,81.23,56,20,1.01
159,Nunkini,MX,2021-06-14 14:33:16,20.3333,-90.1833,78.76,57,97,6.08
160,Calabozo,VE,2021-06-14 14:33:19,8.9242,-67.4293,87.33,56,14,5.55
161,Roald,NO,2021-06-14 14:33:20,62.5833,6.1333,59.16,76,40,20.71
162,Paamiut,GL,2021-06-14 14:33:20,61.994,-49.6678,37.8,88,8,6.53
163,Khatanga,RU,2021-06-14 14:33:21,71.9667,102.5,50.45,81,63,10.04
164,Koroni,GR,2021-06-14 14:33:21,36.8,21.95,81.07,60,0,18.32
165,Ancud,CL,2021-06-14 14:33:22,-41.8697,-73.8203,39.42,74,0,7.54
166,Cam Ranh,VN,2021-06-14 14:33:22,11.9214,109.1591,80.56,83,75,2.3
167,Laplace,US,2021-06-14 14:32:15,30.0666,-90.4801,83.98,77,1,5.99
168,Mehamn,NO,2021-06-14 14:33:24,71.0357,27.8492,49.91,63,60,18.34
169,Nekhayevskiy,RU,2021-06-14 14:33:25,50.4106,41.7561,74.53,72,100,5.88
170,Inhambane,MZ,2021-06-14 14:33:25,-23.865,35.3833,75.18,53,20,6.91
171,Klaksvik,FO,2021-06-14 14:33:26,62.2266,-6.589,45.52,94,68,23.26
172,Chuy,UY,2021-06-14 14:33:26,-33.6971,-53.4616,64.08,61,6,7.87
173,Port Blair,IN,2021-06-14 14:33:27,11.6667,92.75,82.62,83,100,20.22
174,Seddon,AU,2021-06-14 14:33:28,-37.8068,144.8916,51.46,88,40,4.61
175,Tuatapere,NZ,2021-06-14 14:33:28,-46.1333,167.6833,47.82,96,100,3.89
176,Sobolevo,RU,2021-06-14 14:33:29,54.4299,31.8996,70.84,77,26,4.56
177,Hofn,IS,2021-06-14 14:33:30,64.2539,-15.2082,44.62,45,75,5.75
178,Sawtell,AU,2021-06-14 14:33:30,-30.3833,153.1,50.18,95,75,4.61
179,Puerto Baquerizo Moreno,EC,2021-06-14 14:32:42,-0.9,-89.6,74.39,78,75,5.75
180,Lompoc,US,2021-06-14 14:33:31,34.6391,-120.4579,67.1,90,90,0.0
181,Buraydah,SA,2021-06-14 14:33:32,26.326,43.975,106.25,7,0,8.52
182,Antofagasta,CL,2021-06-14 14:33:32,-23.65,-70.4,66.22,53,81,7.43
183,Souillac,MU,2021-06-14 14:33:33,-20.5167,57.5167,73.78,68,20,8.05
184,Nantucket,US,2021-06-14 14:29:54,41.2835,-70.0995,71.96,64,1,14.97
185,Rocha,UY,2021-06-14 14:33:34,-34.4833,-54.3333,64.71,61,68,8.57
186,Mar Del Plata,AR,2021-06-14 14:32:29,-38.0023,-57.5575,58.08,75,40,3.0
187,Hanzhong,CN,2021-06-14 14:33:35,33.0728,107.0303,70.75,88,94,0.72
188,Corumba,BR,2021-06-14 14:33:35,-19.0092,-57.6533,78.71,53,0,9.22
189,Phan Thiet,VN,2021-06-14 14:33:36,10.9333,108.1,79.7,84,28,8.84
190,Mandurah,AU,2021-06-14 14:33:37,-32.55,115.7,53.22,58,100,18.81
191,Tromso,NO,2021-06-14 14:31:31,69.6496,18.957,52.45,61,75,9.22
192,Olga,RU,2021-06-14 14:33:38,43.7444,135.2892,48.29,97,28,4.9
193,Korla,CN,2021-06-14 14:33:38,41.7597,86.1469,66.31,35,100,18.03
194,Atar,MR,2021-06-14 14:33:39,20.5169,-13.0499,112.84,7,10,20.94
195,Coahuayana,MX,2021-06-14 14:33:39,18.7333,-103.6833,80.08,62,44,0.13
196,Suntar,RU,2021-06-14 14:33:40,62.1444,117.6319,53.47,60,48,1.74
197,Nabire,ID,2021-06-14 14:33:41,-3.3667,135.4833,75.9,91,100,1.45
198,Codrington,AU,2021-06-14 14:33:41,-38.2667,141.9667,47.64,77,100,7.2
199,Milkovo,RU,2021-06-14 14:33:42,54.7167,158.6167,51.8,70,86,4.14
200,San Joaquin,US,2021-06-14 14:33:42,37.9333,-121.3011,68.29,83,1,6.91
201,Arlit,NE,2021-06-14 14:33:43,18.7369,7.3853,106.93,8,0,21.65
202,East Bethel,US,2021-06-14 14:33:44,45.3194,-93.2025,78.04,55,20,3.0
203,La Asuncion,VE,2021-06-14 14:33:44,11.0333,-63.8628,80.33,89,78,16.11
204,Shitkino,RU,2021-06-14 14:33:45,56.3703,98.3543,44.78,94,49,1.52
205,Agde,FR,2021-06-14 14:33:46,43.3108,3.4758,98.89,48,0,3.0
206,Baisha,CN,2021-06-14 14:33:46,26.5222,110.9311,77.27,91,83,5.12
207,Vao,NC,2021-06-14 14:33:47,-22.6667,167.4833,73.13,82,5,8.46
208,Deputatskiy,RU,2021-06-14 14:33:47,69.3,139.9,48.02,82,100,3.89
209,Tarko-Sale,RU,2021-06-14 14:33:48,64.9225,77.785,70.0,60,78,1.99
210,La Chaux-De-Fonds,CH,2021-06-14 14:33:49,47.0999,6.8259,79.75,46,0,8.05
211,Knysna,ZA,2021-06-14 14:29:54,-34.0363,23.0471,62.98,68,0,6.62
212,Port Alfred,ZA,2021-06-14 14:33:50,-33.5906,26.891,63.07,86,100,5.55
213,Sitka,US,2021-06-14 14:33:50,57.0531,-135.33,55.29,76,75,0.0
214,Tabou,CI,2021-06-14 14:33:51,4.423,-7.3528,82.45,75,83,7.81
215,Raga,SS,2021-06-14 14:33:51,8.4596,25.678,92.19,39,100,3.78
216,Kruisfontein,ZA,2021-06-14 14:33:52,-34.0033,24.7314,63.88,80,8,5.97
217,Ambatofinandrahana,MG,2021-06-14 14:33:52,-20.55,46.8,55.31,89,29,2.19
218,Tenenkou,ML,2021-06-14 14:33:53,14.4572,-4.9169,106.25,19,100,2.98
219,Scarborough,GB,2021-06-14 14:33:54,54.2797,-0.4044,65.79,57,100,1.01
220,Mount Isa,AU,2021-06-14 14:33:54,-20.7333,139.5,55.17,38,48,5.75
221,Acapulco,MX,2021-06-14 14:33:45,16.8634,-99.8901,75.02,100,90,0.0
