City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Tura,IN,25.5198,90.2201,86.85,64,76,6.73,broken clouds
132,Cayenne,GF,4.9333,-52.3333,75.24,91,75,0.0,broken clouds
133,Inirida,CO,3.8653,-67.9239,71.91,99,94,0.69,overcast clouds
134,Grand Gaube,MU,-20.0064,57.6608,73.38,77,22,5.99,light rain
135,Komsomolskiy,UZ,40.4272,71.7189,83.62,26,0,6.91,clear sky
136,Leon,MX,21.1167,-101.6667,62.6,66,19,10.67,few clouds
137,Wanaka,NZ,-44.7,169.15,41.83,87,93,4.29,overcast clouds
138,Matay,EG,28.419,30.7792,76.5,38,0,15.46,clear sky
139,Kavaratti,IN,10.5669,72.642,83.23,81,61,23.73,broken clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,43.12,35,75,3.0,broken clouds
141,Gat,IL,31.61,34.7642,75.78,10,67,6.6,broken clouds
142,Portland,US,45.5234,-122.6762,68.04,63,0,3.0,clear sky
143,Vardo,NO,70.3705,31.1107,48.4,53,20,20.71,few clouds
144,Chokurdakh,RU,70.6333,147.9167,42.62,84,100,15.88,light rain
145,Kuching,MY,1.55,110.3333,79.02,89,40,2.3,scattered clouds
146,Taoudenni,ML,22.6783,-3.9836,92.32,11,17,0.45,few clouds
147,Cherskiy,RU,68.75,161.3,48.9,54,100,5.57,overcast clouds
148,Puerto Escondido,MX,15.85,-97.0667,78.64,84,100,8.3,overcast clouds
149,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,2,10.36,clear sky
150,Mount Pleasant,US,32.7941,-79.8626,72.99,97,1,1.99,mist
151,Senanga,ZM,-16.1167,23.2667,54.28,45,1,4.16,clear sky
152,Faanui,PF,-16.4833,-151.75,80.51,77,89,21.34,light rain
153,Tasiilaq,GL,65.6145,-37.6368,31.59,79,96,2.84,overcast clouds
154,Hamilton,US,39.1834,-84.5333,64.15,79,20,0.0,few clouds
155,Emerald,AU,-23.5333,148.1667,79.34,33,29,9.22,scattered clouds
156,Hofn,IS,64.2539,-15.2082,40.87,60,100,18.81,light rain
157,Korla,CN,41.7597,86.1469,83.23,13,100,13.71,overcast clouds
158,Porto Novo,BJ,6.4965,2.6036,76.82,85,99,4.76,overcast clouds
159,Xingtai,CN,37.0631,114.4942,82.83,46,97,7.07,overcast clouds
160,Boddam,GB,57.4667,-1.7833,56.39,83,90,5.19,overcast clouds
161,Havelock,US,34.8791,-76.9013,75.15,92,1,3.44,clear sky
162,Pevek,RU,69.7008,170.3133,32.31,91,96,13.04,overcast clouds
163,Hanzhong,CN,33.0728,107.0303,62.73,89,100,1.07,light rain
164,Northam,GB,51.0333,-4.2167,58.01,91,99,11.05,overcast clouds
165,Mana,GF,5.6592,-53.7767,76.32,91,100,7.47,overcast clouds
166,Abha,SA,18.2164,42.5053,75.45,23,0,6.91,clear sky
167,Ribnica,SI,45.7386,14.7275,72.46,62,1,1.7,clear sky
168,Krasnoarmeysk,RU,51.0239,45.6969,70.88,74,0,13.98,clear sky
169,Talnakh,RU,69.4865,88.3972,55.51,89,94,8.81,overcast clouds
170,Heihe,CN,50.2441,127.4902,72.18,58,70,20.13,broken clouds
171,Rundu,NA,-17.9333,19.7667,51.66,40,4,4.41,clear sky
172,Husavik,IS,66.0449,-17.3389,37.31,84,100,7.99,overcast clouds
173,Lasa,IT,46.6166,10.7002,67.08,79,34,2.68,scattered clouds
174,Isangel,VU,-19.55,169.2667,77.04,84,53,6.42,broken clouds
175,Nizhneivkino,RU,58.194,49.5214,64.31,47,52,8.95,broken clouds
176,Roald,NO,62.5833,6.1333,61.16,94,75,4.61,broken clouds
