City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Biltine,TD,84.2,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
534,Gondanglegi,ID,85.8,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
538,Samarai,PG,79.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
539,Naze,JP,81.52,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
542,The Valley,AI,81.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
543,Dimapur,IN,89.58,haze,25.9,93.7333,Jungjung Homestay
546,Bandarbeyla,SO,85.53,broken clouds,9.4942,50.8122,JABIR HOTEL
549,Kokoda,PG,79.57,overcast clouds,-8.8785,147.7407,Daito Guest House
553,Pringsewu,ID,86.43,overcast clouds,-5.3582,104.9744,Urban Style by Front One
559,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
561,Hami,CN,86.09,overcast clouds,42.8,93.45,Laoyutang Resort
567,Nishihara,JP,85.28,mist,26.1842,127.7558,Minshuku Agaihama
570,Namatanai,PG,83.01,light rain,-3.6667,152.4333,Seagulls Inn Namatani
571,Champoton,MX,75.9,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
575,Port Blair,IN,85.57,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
577,Aksu,CN,81.16,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
578,Andros Town,BS,80.56,overcast clouds,24.7,-77.7667,Hanks place
580,Tomatlan,MX,81.09,broken clouds,19.9333,-105.25,El Salvial
582,Itoman,JP,86.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
583,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
585,Ushtobe,KZ,87.57,broken clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
586,Muroto,JP,77.04,overcast clouds,33.2833,134.15,Oota Ryokan
589,Houma,US,82.99,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
594,Barcelona,ES,77.97,few clouds,41.3888,2.159,Axel Hotel Barcelona
599,Moerai,PF,75.2,light rain,-22.4333,-151.3333,Le Manotel
602,Lumajang,ID,82.24,moderate rain,-8.1335,113.2248,SPOT ON 2440 Wallet Family Residence
604,Tual,ID,80.87,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
610,Shingu,JP,75.9,broken clouds,33.7333,135.9833,Shingu UI Hotel
612,Kangaba,ML,77.59,scattered clouds,11.9333,-8.4167,Hôtel Mandé
620,Jasper,US,79.99,clear sky,37.2001,-94.3502,Guest House Motel
621,Boyolangu,ID,82.63,light rain,-8.1181,111.8935,Yos ega cv
626,Sibolga,ID,85.98,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
